PROV1;Vendery;Vendery;Vendery;;;;;;;;;x
PROV2;Yuzhnomorsk;Yuzhnomorsk;Yuzhnomorsk;;;;;;;;;x
PROV3;Yelamysk;Yelamysk;Yelamysk;;;;;;;;;x
PROV4;Nizhniy Kamen;Nizhniy Kamen;Nizhniy Kamen;;;;;;;;;x
PROV5;Bystrovo;Bystrovo;Bystrovo;;;;;;;;;x
PROV6;Morozko;Morozko;Morozko;;;;;;;;;x
PROV7;Yaroslavgorod;Yaroslavgorod;Yaroslavgorod;;;;;;;;;x
PROV8;Usokovo;Usokovo;Usokovo;;;;;;;;;x
PROV9;Lyuboslavsk;Lyuboslavsk;Lyuboslavsk;;;;;;;;;x
PROV10;Chereborg;Chereborg;Chereborg;;;;;;;;;x
PROV11;Tura;Tura;Tura;;;;;;;;;x
PROV12;Tolyarovsk;Tolyarovsk;Tolyarovsk;;;;;;;;;x
PROV13;Kolovo;Kolovo;Kolovo;;;;;;;;;x
PROV14;Mytiborg;Mytiborg;Mytiborg;;;;;;;;;x
PROV15;Rensk;Rensk;Rensk;;;;;;;;;x
PROV16;Tyalesh;Tyalesh;Tyalesh;;;;;;;;;x
PROV17;Duya;Duya;Duya;;;;;;;;;x
PROV18;Solirino;Solirino;Solirino;;;;;;;;;x
PROV19;Stargorod;Stargorod;Stargorod;;;;;;;;;x
PROV20;Nova Roma;Nova Roma;Nova Roma;;;;;;;;;x
