#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_bystrovo;Bystrovo;Bystrovo;Bystrovo;;Bystrovo;;;;;;;;;x
b_bystrovo_adj;Bystrovian;;bystrover;;;;;;;;;;;x
b_bystrovo_2;Bystrovo;Bystrovo;Bystrovo;;Bystrovo;;;;;;;;;x
b_bystrovo_2_adj;Bystrovian;;bystrover;;;;;;;;;;;x
b_chereborg;Chereborg;Chereborg;Chereborg;;Chereborg;;;;;;;;;x
b_chereborg_adj;Chereborgian;;chereborger;;;;;;;;;;;x
b_chereborg_2;Chereborg;Chereborg;Chereborg;;Chereborg;;;;;;;;;x
b_chereborg_2_adj;Chereborgian;;chereborger;;;;;;;;;;;x
b_chereborg_3;Chereborg;Chereborg;Chereborg;;Chereborg;;;;;;;;;x
b_chereborg_3_adj;Chereborgian;;chereborger;;;;;;;;;;;x
b_duya;Duya;Duya;Duya;;Duya;;;;;;;;;x
b_duya_adj;Duyan;;duer;;;;;;;;;;;x
b_duya_2;Duya;Duya;Duya;;Duya;;;;;;;;;x
b_duya_2_adj;Duyan;;duer;;;;;;;;;;;x
b_duya_3;Duya;Duya;Duya;;Duya;;;;;;;;;x
b_duya_3_adj;Duyan;;duer;;;;;;;;;;;x
b_kolovo;Kolovo;Kolovo;Kolovo;;Kolovo;;;;;;;;;x
b_kolovo_adj;Kolovian;;kolover;;;;;;;;;;;x
b_kolovo_2;Kolovo;Kolovo;Kolovo;;Kolovo;;;;;;;;;x
b_kolovo_2_adj;Kolovian;;kolover;;;;;;;;;;;x
b_lyuboslavsk;Lyuboslavsk;Lyuboslavsk;Lyuboslavsk;;Lyuboslavsk;;;;;;;;;x
b_lyuboslavsk_adj;Lyuboslavskian;;lyuboslavsker;;;;;;;;;;;x
b_lyuboslavsk_2;Lyuboslavsk;Lyuboslavsk;Lyuboslavsk;;Lyuboslavsk;;;;;;;;;x
b_lyuboslavsk_2_adj;Lyuboslavskian;;lyuboslavsker;;;;;;;;;;;x
b_lyuboslavsk_3;Lyuboslavsk;Lyuboslavsk;Lyuboslavsk;;Lyuboslavsk;;;;;;;;;x
b_lyuboslavsk_3_adj;Lyuboslavskian;;lyuboslavsker;;;;;;;;;;;x
b_lyuboslavsk_4;Lyuboslavsk;Lyuboslavsk;Lyuboslavsk;;Lyuboslavsk;;;;;;;;;x
b_lyuboslavsk_4_adj;Lyuboslavskian;;lyuboslavsker;;;;;;;;;;;x
b_morozko;Morozko;Morozko;Morozko;;Morozko;;;;;;;;;x
b_morozko_adj;Morozkian;;morozker;;;;;;;;;;;x
b_morozko_2;Morozko;Morozko;Morozko;;Morozko;;;;;;;;;x
b_morozko_2_adj;Morozkian;;morozker;;;;;;;;;;;x
b_morozko_3;Morozko;Morozko;Morozko;;Morozko;;;;;;;;;x
b_morozko_3_adj;Morozkian;;morozker;;;;;;;;;;;x
b_mytiborg;Mytiborg;Mytiborg;Mytiborg;;Mytiborg;;;;;;;;;x
b_mytiborg_adj;Mytiborgian;;mytiborger;;;;;;;;;;;x
b_mytiborg_2;Mytiborg;Mytiborg;Mytiborg;;Mytiborg;;;;;;;;;x
b_mytiborg_2_adj;Mytiborgian;;mytiborger;;;;;;;;;;;x
b_nizhniy_kamen;Nizhniy Kamen;Nizhniy Kamen;Nizhniy Kamen;;Nizhniy Kamen;;;;;;;;;x
b_nizhniy_kamen_adj;Nizhniy Kamenian;;Nizhniy Kamener;;;;;;;;;;;x
b_nizhniy_kamen_2;Nizhniy Kamen;Nizhniy Kamen;Nizhniy Kamen;;Nizhniy Kamen;;;;;;;;;x
b_nizhniy_kamen_2_adj;Nizhniy Kamenian;;Nizhniy Kamener;;;;;;;;;;;x
b_nizhniy_kamen_3;Nizhniy Kamen;Nizhniy Kamen;Nizhniy Kamen;;Nizhniy Kamen;;;;;;;;;x
b_nizhniy_kamen_3_adj;Nizhniy Kamenian;;Nizhniy Kamener;;;;;;;;;;;x
b_nizhniy_kamen_4;Nizhniy Kamen;Nizhniy Kamen;Nizhniy Kamen;;Nizhniy Kamen;;;;;;;;;x
b_nizhniy_kamen_4_adj;Nizhniy Kamenian;;Nizhniy Kamener;;;;;;;;;;;x
b_rensk;Rensk;Rensk;Rensk;;Rensk;;;;;;;;;x
b_rensk_adj;Renskian;;rensker;;;;;;;;;;;x
b_rensk_2;Rensk;Rensk;Rensk;;Rensk;;;;;;;;;x
b_rensk_2_adj;Renskian;;rensker;;;;;;;;;;;x
b_rensk_3;Rensk;Rensk;Rensk;;Rensk;;;;;;;;;x
b_rensk_3_adj;Renskian;;rensker;;;;;;;;;;;x
b_renskgorod;Renskgorod;Renskgorod;Renskgorod;;Renskgorod;;;;;;;;;x
b_renskgorod_adj;Renskgorodian;;renskgoroder;;;;;;;;;;;x
b_solirino;Solirino;Solirino;Solirino;;Solirino;;;;;;;;;x
b_solirino_adj;Solirinian;;soliriner;;;;;;;;;;;x
b_solirino_2;Solirino;Solirino;Solirino;;Solirino;;;;;;;;;x
b_solirino_2_adj;Solirinian;;soliriner;;;;;;;;;;;x
b_stargorod;Stargorod;Stargorod;Stargorod;;Stargorod;;;;;;;;;x
b_stargorod_adj;Stargorodian;;stargoroder;;;;;;;;;;;x
b_stargorod_2;Stargorod;Stargorod;Stargorod;;Stargorod;;;;;;;;;x
b_stargorod_2_adj;Stargorodian;;stargoroder;;;;;;;;;;;x
b_stargorod_3;Stargorod;Stargorod;Stargorod;;Stargorod;;;;;;;;;x
b_stargorod_3_adj;Stargorodian;;stargoroder;;;;;;;;;;;x
b_stargorod_4;Stargorod;Stargorod;Stargorod;;Stargorod;;;;;;;;;x
b_stargorod_4_adj;Stargorodian;;stargoroder;;;;;;;;;;;x
b_tolyarovsk;Tolyarovsk;Tolyarovsk;Tolyarovsk;;Tolyarovsk;;;;;;;;;x
b_tolyarovsk_adj;Tolyarovskian;;tolyarovsker;;;;;;;;;;;x
b_tolyarovsk_2;Tolyarovsk;Tolyarovsk;Tolyarovsk;;Tolyarovsk;;;;;;;;;x
b_tolyarovsk_2_adj;Tolyarovskian;;tolyarovsker;;;;;;;;;;;x
b_tura;Tura;Tura;Tura;;Tura;;;;;;;;;x
b_tura_adj;Turan;;turer;;;;;;;;;;;x
b_tura_2;Tura;Tura;Tura;;Tura;;;;;;;;;x
